Unnamed: 0,Comment
59,nombre demplois voues a disparaitre cest surtout ca inquietant
60,l i a na dintelligent nom zero capacite dabstraction reflexion ca reste logiciel uniquement capable mieux comparer donnees analyser ni comprendre
61,i a tant quon vivra monde comme competition ressources a controler pouvoir a cle bah mal barres quoi
62,lia leurre appelleront ia etait interdit hier permis demain cest triste realite
63,a part surveillance renforcee letat chinois deja place nont ete capables darticuler seul danger reel mesurable lia quant brillants ingenieurs francais allemands formes soins impots vendront americains gros cheque comme dhabitude rien nouveau sous soleil
64,jai pose question ma repondu intelligence artificielle je nai donc conscience donc lintelligence nest suffisante
65,tres bon documentaire comme toujours arte contre faudrait arreter sequences programmation bidons croyez vraiment pdg jina code encore html ??? ridicule passage
66,plusieurs entreprises train dessayer produire programmes revendiquant l ia dont euorpeenne ! lia nest meme definie documentaire soporifique presentant aucun element nouveau passez vite chemin
68,tres bon reportage surtout tres eclairant ! lia souleve tellement questions bravo reportages proposez toujours grande qualite !
69,bill gates lhomme plus corrompus monde cest a donne dossiers nouvelles technologies mal barree
70,nouvelles technologies ca surtout controle masse mondiale cest tres dangereux
71,malheureusement cest gouvernements commandent gens plus places donnent ordres gens pleins dargent
72,bravo lhumanite pourrait bien disparaitre cest quil veut lelite gouverne monde disparition race humaine
73,volent detruire tout simplement race humaine elite mafio gouverne monde la bien leurs technologie service lhumanite probleme cree machines dextruction controle reste lhumanite comme esclave lheurs besoin
74,faut arreter ia ca apporte rien bon homme
75,police predictive ? jo cest autorise cest blague !
76,caprica ? battlestar galactica ? skynet ? replicant ? blade runner ? donnez jamais flingue ?
79,referencement !!
80,si volonte politique reste inchangee avenir ultra dependant energetiquement creation limitee technocratie ultra normee generalisation dematerialisation services prives publics tout fond datas manipulees
81,gens fous debut fin futur ds bonte partage humain ds putain robot i a font meme connerie ds terminator
82,mistral francais tres bonne ia
83,l i a humains sennuyeront tellement sucide colectif a mode
84,comment imaginer ia europeenne alors quil ny dequivalent europeen dun outil recherche comme google ni reseau social comme facebook messagerie comme whatsapp? toutes donnee europeennes quelque sujet portee collectees exploitees entites noneuropennes laisse developper suite
85,grande question travailler lia lla?
87,pourrait rappeler tout peut etre fait fait sert a rien brider perdra temps aussi solutions
88,pourquoi avoir modele puissant sans limite autre modele surveiller er model eviter quils disent choses nefastes
90,i a a ete experimentee resoudre deficit publique france aussi i a peut etre experimentee concernant guerre moyen orient particulier guerre entre israel iran merci
91,confondre technologie pecnologie lhomme sait nature lia nen a faire probleme hommes dependent nature creent lia hommes ignorent nature !! croient intelligents plus
93,super interessant effectivement si cest open source quun geant tech sempare tout marche derniere generation a reflechir nousmemes a faire difference entre vraibet faux
94,plot twist video a ete ecrite ia plus serieusement comment deceler verite lon voit entend ressent peut etre fosse ? allons devoir redouble desprit critique
95,contenu interessant mettant lumiere etres
96,boulet explique faute former remplacant a hotesse daccueil prevoit remplacer ia linstant dapres le vivre ensemble fondamental visiblement vivre ensemble exclue petites mains quon peut remplacer machines
97,lhomme cree lia perfectionner monde lia rend compte seule imperfection lhomme lia detruit lhomme femme herite terre
98,lon a besoin ca monde crois pas on entrains tuer valeurs humaines relationel va ? droit mur reveillez vous
99,a fin civilisation cest estce ca va arriver quand ? cest aubaine grand malheur lhumanite a fois ! ans ca trop tard larrivee gpt va etre determinante prochains mois
100,i a deshumanisation decadence morosite violence pauvrete faites plus d futurs esclaves poignee privilegies cruels chacun soi a paroxysme fin lhumanite malveillance triomphera
101,internet smartphones i a terminator
102,arte carry television francaise depuis tellement longtemps cest abuse
103,mais si cest ici meilleur mondes autres ?
104,tant quil hommes guerre nest loin terre petits garcons culottes courtes
105,ligne editoriale documentaire tellement previsible quelle a due etre generee ia encore prompt tres inspire
106,cest reportage avancees lia publicite geante entreprise dont entend nom fois cours premieres minutes ? oo
107,pourquoi peuton faire comme station international mir mettre tous savoirs reunis bien lhumanite entiere cest a peuple prendre cette decision pense pouvoir entre mains travailleur pensais cette idee utopiste ???
108,europe foutue grace a manu fossoyeurs france
109,jaime poeme poisson
111,quand devrai envoyer humain passe rencontrera sarah connors tuer inventeurs lia pouvez dire devrai assassiner? merci davance
112,dici ans lia present tout faisons premiere fois jai entendu cela cetait pendant etudes dinformatiques cela va enfin realiser t ! a failli attendre
113,metonne cest quavec lai ukraine tsahal perdent guerre comme jamais comme quoi ce nest forcement mieux arme gagne plus malin
114,lhumain exagere toujours avancees technologiques finalement produire gadgets pacotille a vendre masse lia bulle
116,ingenieur a pole emploi dans recherche comme dirait inconnus
117,assez vu terminator enfoires
118,cortana docteur catherine halsey donc reelle deja la
120,fric fric fric ! rejouis ia resolve probleme puisque race humaine incapable !!!
122,meilleurs aimeraient etre tranquille gens pareil tranquille
123,mimpressionne dit betises
124,l ia indispensable facilite vie
125,question existentielle avenir celui enfants pertinentes!!
126,si demande a lia deliminer fin monde vas la comprendre comment
127,a gros lia cest futur femme lhomme sex moins
128,ouioui industriels tout elle
129,bande tares trucs crees cest detruire planete
130,a du coup peut aussi met puce ia tete dit quoi vote sinon va etre embeter conscient inconscient jusqua quil obtenu satisfaction
131,merci doc juste magnifique futur a portes
132,gardez bien interrupteur a portee main ! confondent intelligence somme de s cultures etes encodees donc si encode ca existe !
133,bonjour estce rgpd peut contrer i a
134,skynet
135,niront loin rassure lia allemande nest quune pale copie fait chine us leurope foutu davance lallemagne nest meme a hauteur lenjeu pfff meme leurs ingenieurs a hauteur aucune chance leurope passer devant concurrents arretez rever
136,i a stop!!!!!!!!!!!!!!!!! machine tuera tous! cest evident elle surpassera li a cest suicide a long terme
137,mistral lia made in france egalement tres impressionnante tres surpris evoque peut noter allemands lintelligence faire installer serveurs propre sol tandis mistral sallie a microsoft hugging face des debut sest tire etats unis cest assez deprimant
139,daccord terme intelligence donne a machine
140,derriere i a a squizage humain illusion monde meilleur surtout financiers nerf guerre le ble
141,contre majuscules noms villes pays?
142,excellent documentaire merci !
143,tout metiers vont disparaitre a cosse lia
145,mort tout ca ?
146,pourquoi parlent mistral ?
147,quand jetais gamin lisais asimov pensais etre ne trop tot connaitre multivac peutetre pas finalement
148,quand lia prendra larsenal nucleaire tous pays rigolera moins
149,quand lia va prendre conscience delle meme capacites va monter plan licenciement letre humain sans plan reinsertion va avec on va droit a catastrophe merci matheux !
151,quel lien entre objets mettant lia pratique ressources matieres premieres condition ouvriers travaillant a exploitation lenergie cela consomme lecologie ?
152,grand bravo avoir reuni personnes edifiant monde demain ai carte a jouer jespere personnes regarderont attention entrain jouer openai pourront a tour contribuer a evolution lespere saine plus securise generations futures
153,pourquoi reportage mistral
154,confiance ia donc cromagnon ancienne generation old scool
156,seule chose leurope capable faire niveau technologique cest dinterdire controler tout nouveau donc fait provoquer fuite cerveau peux gagner cette maniere
158,invito gente a ver una vieja pelicula llamada colossus da idea lo que espera
160,fric fric fric !!! vecteur pouvoir moteur monde accelerer rentabilite a tout prix
162,ca dependra philosophie lia si nest cadre apprend quelle trouve net ca gros bordel ! preparez pire lol
163,min sais deja quil iront nulle part investissement millions quand sais chine usa parlent milliards
164,ny a francais denigrer grands hommes perronne raoult montagnier alexandra henrion caude tous autres bravo leut donner parole
165,quelle travail uhhhhhhh jespere soi bonne cause
166,pardonne leur savent quil font! fait si pognon!
167,debranchez tout amenent tout droit vers disparition tous metiers fous naiment lhumain ils naiment largent !
168,super documentarie
170,nn merci ia interesse
171,souriez etes foutus !
172,scary
173,creer blockchain vote plus aucune election truque quont voyent tout votes
174,allez faire hum hum ia bande sheitan
175,reportage tres interessant merci arte ! quebec
176,lia grosse merde surement conscience
177,intelligence artificielle peut dire nee intelligence humaine a transhume ?
178,moins chine copie va faire guerre autre jalousie
179,mains king jon un trump poutine des talibans taliblancs xi jinping ca va etre sacre feu d artifice
180,apokalupsis apocalypse bym donne donner esprit a limage bete afin limage bete parle quelle fasse tous ceux nadoreraient limage bete mis a mort
181,ukraine russie perspective dune guerre nucleaire probleme l ia va sen occuper !
182,merci cette analyse complete !
183,quand pense parents mont envoye colonies vacances rda debut annees
186,ingenieurs font appel a politique reflechir a place ici demande a incapable prendre decisions
187,comment peut accepter technologie dont createur meme a demande stopper refuser bloc seule option raisonnablement humaine
188,paradigme levolution societe contre developpement croissance lia vrai enjeu devenir monde
189,ny a plus personnel qualifie cest faux !
190,lintelligence artificielle demain abrutis daujourdhui
191,bah ouais ya mine dor comme toujours ceux plus grand interet capacite a faire tunes vont faire ho oui faut reguler regarder vetu dun habit chevre pousser lois finales prennent devant nentrave produit
192,li a etait cree lhumain lhumain dieu!!!
193,ia outil pouvoir nouvelle espece vivante a limage concepteur ?
195,chut g p
197,gens renderont vraiment compte quant droides crs vont matraquer sans pitie aucune
198,black mirror
200,lintelligence artificielle cest bon france ca existe depuis tres longtemps
201,ouais dira surement plutot cest a moment la tout a completement fini foirer !
202,lautomatisation dactivites productives realisees humains disparition certains metiers nest risque cest cycle naturel destruction creatrice theorise schumpeter
204,gens peur lia gens nont jamais essaye den coder a toujours peur linconnu la cest typique lincomprehension rejet linconnu cest a egalite racisme lhomophobie etc etc
205,encore fautil avoir economie tient debout
206,strategie dinfluence masse ! cest la quest vrai risque
207,quand fes tempete scolaire
210,open source signifie gratuit
211,ahahah arte parle societes libres parler us leurope bonne blague
212,premiere question estce quon arrivera a avoir definition commune quest intelligence artificielle moment cest juste buzz word
213,super video attention petites coquilles trillions milliards milliards
215,imaginez ia va detecte toutes fraudes procedures lois enverra coupables justice va verifier si elles appliquees suivies comprenez pourquoi veulent pas
216,vraiment dangereux tout ca bon machines nont ames
218,super reportage
220,excellent reportage
221,primitifs ans bonheur a futur
222,si lia prends controle lhumain cest ok pourquoi lia voudrait ? parce trouve obsolete depasse non perfectible fait lia voudrait detruire lhumain voudrait avoir les pleins pouvoirs
223,i a va detruire cest evident!
224,oubliez russie competition cest volontaire ?
225,rd
227,arte what an interesting report can you follow us back thanks
228,faut rever lia servira lhumanite riches puissants! faut reveiller!
229,toujours tres germanocentres reportages arte
230,sarah connor?????
231,inquietez pas lue a assuree futur appuyes principale expertise sorti reglementation ca va grandement aider recherche lemergence nouvelles societees etc mdr
233,merci arte jaimerais tout mis oeuvre i a permettent humains devenir meilleurs transcender medecine daujourdhui ouvrir nouvelles portes a lhumanite notamment conquete spacial
234,ia signification ? fin lhumanite !
235,felicidades
237,a celui a fait soustitres a traduit trillions dollars milliards dollars alors traduction juste milliards dollars
238,skynet bonjour !
239,merci toujours super interessant bravo equipes
240,non sen fout construis positif inquiete gens cest si cest detourne negatif donc prends risques si veux uniquement toi
241,faut toujours mettiez bais ideologiques reportages cest role service public
242,lia pourrait etre utilisee a fins malveillantes comme developpement darmes autonomes surveillance masse
243,merci pierre !
247,cest course cest marche vers tristesse labsence dimagination mort lesprit humain plus grand privilege dune centaine dultra riche etres memes triste sans imagination dont seul reve cest davoir toujours olus peu importe quest plus
248,merci infiniment a lequipe arte contenu aussi edifiant
249,lia minquiete pas jai ans nen plus bien longtemps thanks god
250,droit mur
251,ca date comme reportage gaz cher russe cest fini comme quoi cetait risque previsible
253,larrivee dextraterrestres terre developpement exponentiel frenetique lintelligence artificielle meme similarites meme choc emotionnel ?
256,quelquun connait musique generique ?
257,verra bien lue declin energetique pic oil etais a ans principal lenergie devrai avoir plus double poins rupture arrive adulessant font mumuse chimeres biosphere tombera bien avant moindre resultat
258,probleme deja solutionne bittensor subnets
259,donc projets globalistes course mille milliards sait nourrir toute planete? lobbyistes habituels hypocrisie a paroxysme
262,pire mondes loin relations humaines loin regne animal loin nature monde ecurant veulent riches dos consommateurs non citoyens lucides eclaires consommateurs aveugles
264,miesten maailma taas kerran
266,l ia na rien dartificiel ! cest pipeau escroquerie quantique largement superieur lia nest quune masse ramassis concentration connaissances humaines reunies concentrees endroit reduit plus ! reveillez ! aucun ordinateur planete reflechit jignore a profite fake
267,selon arte leurope pointe matiere dia mettant avant projets dune startup totalement inconnue realite us chine linde russie emirats arabes dament pion tous jours !
268,france ?
269,france?
270,wahou !! super document !!! fois peu flippant vraiment top !!!
271,plus petits succes plus souvent plutot quun grand succes peut devenir aussi grande desesperance finalement methode agil reflete premier cas
272,generique debut incroyables visuels jen frissons felicitations createur excellent
273,apres analyse photographique via lia yatil manipulation l alunissage ainsi toutes missions lunaires nasa ? a cette reponse saurez confiance peuvent avoir peuples envers leurs gouvernements
274,malgre lignoble chaos sensuivra peut quesperer lineluctable effondrement cette pourriture geekolatre quest robotisation vivant
275,i a a refuse linterview ? peut etre piscine
276,cest trop romance vraies informations distribuees compte goute nai tout regarde
278,probleme nest lia cest lhumain sen sert si europe tente reguler ca chine russie vont precipiter abuser sans aucune morale ni ethique fins economiques militaires ailleurs aussi
279,daccord quen voyant truc comme ca budgets lignes morales americains chinois rigolent grassement ?
280,linteligence outil elle mene a sagesse sage veritable celui est etant inteligents inteligible mailleurs?
282,je inquiet bah ouvre yeux coco
283,confier dossier aussi complexe a president comme biden sait a peine ecrire prenom quand meme ose merci reportage
284,lia na pris travail lenvie faire
285,chine dont huawei vend massivement equipement surveillance a france notamment societes occidentales loin detre reste
287,arte seule chaine tnt a sens heureusement quelle existe
288,quand visage dhumain effrayants cest frankenstein !
289,kali yuga route ! lobscurite ames !
292,vers minute grosse erreur traduction nest milliards dici milliards dollars! billion americain milliard trillion americain milliard
294,plus spectre reduit
295,conneries lhumanite toujours decides fanatiques extemistes moderes qui representent lhumanite subissent decisions actions faites fanatiques lia guerres religions ras bol tout ca
296,nai aucune envie discuter robot stupide etre humain veux confronter humains jouets millionaires fruits cerveaux deranges asocials
297,cest quoi doc merde raconte rien ??
298,quand lintelligence artificielle supplante lhomme decisions cruciales securite sante deducation dinformation cela peut etre tres dangereux
299,meilleur mondes aldous huxley
300,donc risque principal vient lopen source cest bien ca ?
301,nest cultivant wokisme destruction patrie la chretiente famille loccident renaitra cendres
302,nombre dia vont etre developpees ans a venir tous gouts meme mauvais
303,lhistoire recente google gemini devrait rappeler principe base suit toute ia principe appele anglais gigo garbage in garbage out foutaises entree foutaises sortie
304,comme dhab leurope regule usa innove
305,estce melange hallucine semblait quil officier larmee chinoise intervenait documentaire retrouve plus cette version ?
306,tout depend quelles mains tombe manipule pourquoi
307,merci informations
309,lhumain nest plus si pense plus
310,lia viens foutre personne sans emplois france
311,
313,allez voir vais scie branche laquelle trouve tout va aller mieux tous
314,verra sais pas
315,cest bien joli calculer vite si sait quoi
317,a i confiance
319,ba be bi bo bu diable jsuis humain
322,espere ia a traduit texte !
324,ceux suivrons etant implante consideres comme infirmes futur cest controle totale cerveau donc pensees actes
325,faut eviter maximum l alimenter faire attention reseaux sociaux faire maximum vraie vie sinon cest fichu lhumanite
326,bon ben direction guerre plus horrible bon courage futurs humains
327,excellent doc tres instructif
328,comment tous acteurs voient evoluer leurs enfants monde deshumanise ? petite minute a fin reportage grand desert
329,tout progres va fracasser pbs ecologiques la vont empirer tous geeks ontils conscience ?
330,comment retirer microplastique ?
331,aucun point positif destruction millions demplois controle population manipulation masse cest enorme fleau va tomber dessus sans oublier fin creation art chansons peinture
332,pendant moment la manque delectricite nuit augmente criminalite latmosphere plus plus pollue
335,peu trop biaise chine cest mal europe cest bien bon reportage quand meme
336,lia pourrais recuperer ex superposee scenes donlyfans gloire a technologie
337,quelle merveilleuse illustration phrase demma marcegaglia lamerique innove chine copie leurope reglemente
339,meilleur mondes sans humains ? car ia vont remplacer cela a deja commencer
340,skynet
341,voulez concurrencer americains declarez independance comme certain groupe francophone !!! arreter croire economie axee vente specialictes comme inutiles couteuses berlines !!!!
342,sommesnous encore chaine franco allemande ? jai doutes
343,a deja constate comment ccp a utilise technologie controler population chinoise reconnaissance faciale lia avancee va assister nouveau niveau suppression libertes individuelles prochainement democraties
344,makoume ?
345,si meilleure solution proteger lia prendre chemin contraire? rien narretera cette technologie
346,comme quoi reste encore chaines interessantes !!
347,mistral dommage ca gache peut documentaire savoir meme arte parle petites francaises
348,this german company just seeks money it is a fraud in my opinion open will create the real capable of answering any problem targeting the administrations give a break this is really just to milk money out of states and peoples taxes it will go nowhere and they will be rich!
349,tous pretextes bons critiquer chine
351,why aleph alpha is not using render network to get abordable gpu power decentralized from people in the world ?
352,ia
353,responsabilirte oui ! copyright aussi ? pourra ton rettribuer correctement producteurs contenus humains nourissent ia ? quadviendra til quand ia produiront contenus humains ?
354,lavenir decentralisation !! partage llm base donnees obtenir meilleure course effrene mene loffre demande qualite augmente ! bittensor tao guys !
355,hahaha tous c amerlocs occidentaux a traine trop naifs croire gouvernement ccp ca cest faiblesse democratie
356,futur lia decentralisation cest dommage parler bittensor
357,milliards d humains terre comment gerer manipuler telle population ia a bonne entendeur salut
358,seule personne entreprise interessante tout ca hugging face permet faciliter lopen source loin capitalistes merde lon voit majorite reportage
359,debut fin
361,si arte dit !!!
364,alpha mistral ca parle? classe numero deux mondial efficacite juste derriere gpt moisci francais peu a ramasse docu
366,lintelligence artificielle dominera controlera monde reel a distance seul homme appele lhomme lanarchie
367,eblouissant il faut vivre encore ans !
368,quels trois lois dasimov ? premiere loi robot peut nuire a etre humain ni laisser sans assistance etre humain danger deuxieme loi robot doit obeir ordres donnes etres humains sauf quand ordres incompatibles premiere loi
369,arte mondialistes essayent lavez cerveau
371,pied plancher
372,aujourdhui mars vu genre la clignotait cherche dautre personne vu cela region houdeng belgique hainaut
373,ou frein a main arreter toutes conneries ?
374,lhumain tellement bete quil veut inventer intelligence plus forte ca peut donner quune betise artificielle b a tiens cest marrant comme nom non?
375,fric politique influence meme tambouille dhabitude concretement vies ?la vie petit peuple ?
376,ia vraiment intelligences pluot perroquets acces a toute creation humaine
377,installer data center allemagne cout l energie a explose merci usa davoir coupe cordon entre l europe l urss rendre dependant energie c heresie
379,interessant attention quand meme a trop vouloir remplacer hommes femmes individus sentent laisses compte ca cree souvent violence terrorisme
380,navez voulu lire tous livres sf ? voulu voir films sf passe ? meme vu lexcellent documentaire darte isaac asimov ? tant pis vous ny a quune seule unique chose contre laquelle faut luter lignorance lenfer terre arrive desole
381,avant debattre dangers lia faudrait dabord relire discours servitude volontaire detienne boetie comprendra alors lavenement lia signifie fin libertes uniquement lofficialisation cette fin deja effective depuis mal siecles
382,vois probleme a confier direction monde a lespece plus intelligente quand voit niveau politiciens plupart devraient etre vires incompetences laisser plus intelligents decider devrait etre regle bon sens
384,dieu seul va decider futur
386,ah oui? ca fait annees cherche role lai trouve jamais rien postes developpeur java cest comme ca croyez arriverez a dominer quoi soit? non leurope france jamais pouvoir car espaces meprise linnovation travail
387,pourquoi partent tous us ? easy lallemagne a fait encore plus horrible niveau administratif quand france investisseurs europeens toujours peur dinvestir entreprises alors quaux us mindset plus dentrepreneur
388,internet hacking mondial nom dun progres universel les banques colonisent leurope apres lafrique les ameriques lasie
389,bonne tempete solaire toute cette folie stoppee apprenons a devolopper humanite
390,lincontrolable faim lemploye dclic modele plus rentable planete ou betise humaine egocentrique apogee ! desinformation fera reste ?
391,va creer chaumage masse quelle evolution
392,temps admnistrations differents gournements differents pays votent loies limiter lia appliquent ca deja millions dannees trop tard
394,final tout enjeux dinnovation lie pouvoir these geek lia derniere frontiere pouvoir apparemment linformatique trop puissante etre maitrisee va peut etre echapper
395,interessant
397,lia entrain creer vide plupart sites internet
398,cest dommage reportage parle francais mistral !
400,toujours meme probleme a chaque avancee technologique techniquement parlant cest bluffant lutilisation faite seratelle a hauteur sans danger ? jen doute quand vois a quoi destine deja lia produits quotidien
402,a a erreur soustitre time parle mille milliards dollars milliards
403,decor plante art lavenir prospere passe lia
404,venez surtout pleurer jour ou i a declenchera feu nucleaire
406,estce differentes ia open autres peuvent communiquer entre elles?
407,sam almand
408,pense lia tel quelle actuellement grosse escroquerie sens machine nest consciente rien tout fait quanalyser fait dit genere rapport a ca cest juste automate ni plus ni moins
409,fascinant flippant
410,cest incroyable saut quil fera lhumanite cet outils ca pourrait aider tous domaines
411,fichus
414,faut lia concentree seule entreprise ? ben linstant cest mal barre entre ms achete tout passe nvidia fourni composants europe clairement a bourre cest pres changer cf mistralai sest fait racheter ms
415,jonas dit conneries car ovh cloud cest francais ca marche tres bien cest a cause idiots comme quon perd souverainete car sait reellement renseigner invisibilise ovh
417,boite pandore ouverte lerreur fut fatale generations futures rendront compte amusezvous si pouvez
418,cas probleme restera toujours possibilite denfanter john connor proteger sara connor
419,a limpression meme reportage genere ia ultra sophistiquee
420,merci information
421,plus grand basculement lhumanite loin fiction
422,comment imaginezvous futur lia ?
424,dire toujours a esperer retour boutons pressoirs tout tralala vendre encore plus breloques encore plus vite
425,demandons a lia comment resoudre crise entre israeliens palestiniens borde criteres respectent populations meme vis a vis leurs leaders pourraient etre si pacifiques plupart gens
429,orientation vers pensee unique imposee puisque gens transgressent toutes regles contraignantes utiles protegent aussi ceux usent a fins contraire principe vivant expansion
431,parler a machine cest debile ! ferait mieux deja parler comprendre entre humains lieu menacer cette competition mortifere et generation guerres business faire profits
432,change technologie sans etre capable changer mindset cocktail parfait coup grace deshumanisation polarisation encore plus extreme monde faut etre totalement deconnecte realiser
434,lavenement lintelligence artificielle iminente cest lextinction progressive lintelligence humaine
435,recital nom dentreprises partenariat collaboration projet rien sujet fond doc bfm business
436,enorme concurrent arrive ni vu ni connu secret plus total accrochez vous
438,pourquoi pose toutes questions sachant finalite cette ca depasse faut chercher plus loin vue evolution rapide moi manque respect savant etudie vie entiere reflechissons avant agir
439,vu enjeux economiques politiques quelle niveau sincerite peuton accorder differents intervenants documentaire ?
441,leurope a masse cest tres grave
442,eest allez creer monde plus egalitaire ca ?
443,algorythme aussi complexe il nest ia meme a siecle pouvoir creer vrai ia reportage ridicule
444,cest tres flippant!
445,si lia pose probleme faudra debranchee lhomme fonctionne sans electricite
446,a qua couper courant plus probleme !
447,opensource gratuit ! parle lacces code chatgpt gratuit proprietaire exemple
448,mistral a i francais bien plus efficient chatgpt
451,largent pouvoir deja mains dun pourcent population narcissique raciste dominateur meprisant peuple vont regaler milliardaires !
452,monde letre humain naura plus besoin refflechir devenant facto malleable
453,trouve plupart applications lia niveau consommateur assez idiotes dangereuses semble parfait lia utilisee domaine scientifique aidant chercheurs economisant nombreuses heures travail fastidieux suggerant nouvelles voies recherche
454,tout pouris documentaire passer chemin
455,faut changer terme homo sapiens selon cet homme car sapiens veut dire qui pensent sauf plus intelligents deja ca theorie rien prouve sapiens veut dire intelligent comprend vraiment delire !
456,regression intelligence humaine !!!
457,pense quon va creer meilleur mondes lia peut arreter progres
458,lia cest debut fin lhumanite
459,reviendrai
460,grosse connerie
461,cest quand arrivera singularite lont comprendras
462,tou daccord i a ? ?coment peu laisse faire prefaire lhumin ?? naime robotique ?? alle cree monstres ?? jour retournerons contre ???? attention ??? combien chomeur alle cree avai pence a sela ??? fous ??? pauvre monde ????
463,leurope pourra jamais etre dessus us surtout domaine technologique
464,napprend grand chose a part pretendus europeens leurope nexiste ny a francais allemand leurope nest pays allemands detestent francais inversement nuls endormis laissent monde entier passer devant !
465,ou lexplication progression lia ?
466,westworld
467,pendant temps problemes ecologiques cessent daugmenter
468,travaille boite cherche a produire robot humanoide tres proche biomecanique humaine
469,vive lia !!! cest faute humains trop emotionnels lhumanite perdition protocole informatique bien plus juste bien plus stable bien plus fiable commun mortels
470,lia deja presente monde
471,james cameron deja tout compris
472,jetais ravis voir reportage elon musk maintenant celuici apparait doc hopitaux etaient incroyables regalez arte merci infiniment !
473,temps debloquer nevrose anticalins oser sen faire vite temps sinon cest lia donnera avatar synthetique tout rate
474,bonjour ce moment ou tout a change ere sortie publique chatgpt !
475,entrain decrire roman science fiction futuriste entre utopie dystopie reportage tombe bon moment merci arte meilleure chaines
476,goated hugging face
477,si ia trustent tout metiers mettent chomage tout monde va soccuper cohorte nouveaux pauvres?
478,honnetement pense tout ca vas envoyer droit mur vont trop loin ia
479,tous risques bien presents cet avenir meme lesclavagisme plus sordide si ny prenons garde mille fois plus vulnerables deja
480,cest deja bernard arnaud bollore disent voter?
481,quand jaurais ans penserais a ans penser ia pourrais aller sy loin changer monde tout tout
482,matrix ouiiiiiiii camp concentration virtuel ouiiiiii sans loi sommeil cerveaux inondation ondes manipulation planification exemple concret mise point genocide rwanda monde mensonges trafics scandales faux a outrance nouveau jeu
483,skynet arrive
484,profitons derniers moments dun monde ou humains etaient autonomes
485,conseille daller maison retraite
486,fauchton
487,tout fais macron americain! voila resultat quelle e!
