,Comment,Sentiment,Score
580,primero haria seria darle gracias dios celular segundo darte muchas gracias bro dios bendiga,positive,0.9971001744270325
582,si ganaria estubiera bien feliz saludos,positive,0.9914920926094055
583,primero haria seria darle gracias dios celular segundo darte muchas gracias bro dios bendiga,positive,0.9971001744270325
584,si gano iphone seria feliz,positive,0.944654107093811
587,primero haria seria darle gracias dios celular segundo darte muchas gracias bro dios bendiga,positive,0.9971001744270325
590,declaraciones fuertes compre funda iphone,positive,0.9021095037460327
592,primero llorar alegria prenderlo aprender rayos usa jaja,positive,0.9316137433052063
593,espero ganar iphone corridos bien tumbados,positive,0.9869711399078369
595,primero probaria camara segun buena,positive,0.9815413951873779
603,usaria escuchar dias spotify descargando toda playlist,positive,0.922476053237915
605,si ganara iphone regalaria carnalita cumplio anos diciembre regale,positive,0.963860273361206
608,regalame telefono bro,positive,0.9625433087348938
614,si gano veria tutoriales usar phone tomar muchas fotos !,positive,0.9829353094100952
616,vamos iphone,positive,0.9168948531150818
619,alc creo gane jaja conformo veas comentario saludos crack guadalajara jalisco lograste si iphone vendo tener unas vacaciones hacen falta v,positive,0.9656159281730652
620,papa fox papa fox,positive,0.9753339290618896
622,tomar artas fotos,positive,0.9602349996566772
623,ojala gane iphone pq ocupo escuela,positive,0.9574902057647705
624,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
625,quiero,positive,0.9677879810333252
626,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
627,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
628,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
629,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
630,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
632,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
634,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
635,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
636,quiero iphone pa sacar fotos camara buen,positive,0.9742832779884338
637,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
638,ojala gane iphone poder tomar clases linea musica,positive,0.9782143831253052
639,jajaja mejor saga bromas,positive,0.9835118055343628
640,necesito iphone grabar musica !!!!,positive,0.9577671885490417
642,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
643,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
644,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
647,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
648,jugar,positive,0.9534119963645935
649,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
650,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
651,sacar fotopollacon iphone,positive,0.9074003100395203
652,necesito iphone tomar fotos increibles utilizarlo universidad,positive,0.9844203591346741
655,ojala iphone poder grabar musica,positive,0.9209901094436646
656,pramkedy quiero celular gracias seguidor fiel,positive,0.9963668584823608
657,espero mucha fe ganar iphone poder utilizarlo universidad,positive,0.984029233455658
658,disfrutarlo tener celular decente,positive,0.9859609603881836
659,ojala gane tomar fotos,positive,0.9765446186065674
660,espero ganar iphone,positive,0.9917516112327576
661,ojala gane iphone poder saber tener umo,positive,0.9798716902732849
662,quiero ganar iphone poder grabar trabajo,positive,0.9793867468833923
663,quiero iphone abrir redes sociales poder ser influencer,positive,0.9369316101074219
665,sacando mil fotos camara esta buena,positive,0.9732155203819275
667,espero ganar iphone mio jala,positive,0.9789291024208069
668,gane iphone voy abrir redes sociales,positive,0.9722957611083984
669,ojala gane iphone grabar,positive,0.9682741165161133
671,doy vieja traigo jajaja,positive,0.9754824638366699
672,ojala gane sorteo iphone poder editar musica,positive,0.952529788017273
673,jajaja jajaja jajaja jajaja jajaja jajaja jajaja,positive,0.9667496085166931
675,espero ganar iphone,positive,0.9917516112327576
683,suscribirme only fans jajaja vi eh,positive,0.9937031865119934
684,tomaria unas fotos atardeceres gustan,positive,0.9800083637237549
686,primero haria ganandome celular seria ver nopor enanos alvinos sida meteria virus despues meteria yutu pa ver prankedy alias dios trolleo comiendome churrumais nuevo iphone,negative,0.9409700632095337
689,regalaria novia,positive,0.9916662573814392
690,ver exatlon,positive,0.9792439341545105
692,maestro,positive,0.9860498309135437
694,iphone quiero grabar cortos modo cinematografico,positive,0.9261671304702759
695,quiseira ayudarle darle difusion negocio papas,positive,0.950151264667511
697,bueno haria vender actual ayudar ami familia igual ahorita andamos bien economia,positive,0.9651570916175842
698,quisiera iphone sacarle mayor provecho,positive,0.9398783445358276
704,tomare foto contigo traerla fondo pantalla,positive,0.983924388885498
705,sacaria foto contigo traerla funda,positive,0.9189550876617432
706,declaraciones fuertes compre funda nuevo aifon jeje,positive,0.9495646357536316
712,ver frankedy,positive,0.9813583493232727
716,aifon new ver vidios,positive,0.9047116637229919
718,hola bro aria iphone seria tomar mejores fotos mandar tareas tener mas almacenamiento tener mas archivos documentos mandan escuela asi evitaria ir mas seguido ciber pasar archivos memoria,positive,0.9622560143470764
720,only fans rey misterio jajajajaja pondre sim card saldo cel nuevo aifon kinze,positive,0.9723323583602905
721,jajaj nunca falta amigo si ahuevo jaja,positive,0.9667216539382935
722,iphone haria proyectos mejor calidad trabajo,positive,0.9754880666732788
724,fon lunes entro uni pa jajaja,positive,0.9088733196258545
725,uuuuy color quieroooooo este aifon prometido seria ponerle recarga pesossss,positive,0.9582681059837341
726,si gano harias feliz buen regalo comenzar ano,positive,0.993721604347229
729,pobre gente jajajajaja,negative,0.9026247262954712
731,haria pues pongo feliz,positive,0.9850598573684692
732,pongo gritar siiiiiuuuu bicho pura alegria jajajajaja,positive,0.9345120191574097
735,quiero bro,positive,0.9877918362617493
739,iphone voy tomar fotos mejor calidad proyectos,positive,0.9779366850852966
740,denle like ganarme iphoneeeeeeeeeeeeee,positive,0.9745045304298401
744,mejoraria creacion contenido fono buena camara trabando pipipi,positive,0.9691274166107178
745,tomar fotos,positive,0.9766207933425903
746,primero haria iphone presumirlo ig,negative,0.920569121837616
751,ocuparia fotos camara ve cool,positive,0.956548810005188
754,apuesto ganado sorteos nuevos seguidores saben show nunca ganamos acompanamos desdeel unico jajaja saludos espero ganar brother,positive,0.9854395985603333
755,quisiera iphone darselo hija esta comenzando negocio seria mucha ayuda grabar contenido,positive,0.9413800239562988
759,sigo primer paparatzi nunca ganado,positive,0.9408169388771057
761,regalaria madre,positive,0.9753843545913696
764,bueno espera iphone,positive,0.9613485336303711
766,fotos espejo gym,positive,0.937976598739624
767,primero haria iphone seria piratearle spotify premiun,negative,0.987575888633728
769,pues llevo tiempo ahorrando comprar alguno si ganase podria comprarme mas,positive,0.9084097146987915
770,espero siguo anos bro,positive,0.9897834658622742
771,descargaria cod iphone,positive,0.9649829268455505
774,si gano iphone venderia traigo pagar terapias fisicas,negative,0.9212700724601746
777,remake senor tienda,positive,0.9585669040679932
785,probar camara,positive,0.9753714203834534
788,k creo ganar si hago usaria estudios,positive,0.902440071105957
790,gustaria usarlo school suerte toda people,positive,0.9448031783103943
793,regalaria gfe dia papa,positive,0.9836280345916748
794,iphone manos usare tomar muchas fotos bebe,positive,0.9289106130599976
795,iphone puedo regalar mama cumpleanos,positive,0.9592167139053345
797,espero ganar gane bot suscrito vi broma hace muchisimos anos cerca galerias metepec encantaria ganar iphone quiero dar papa cumple!! saludos edy!,positive,0.9904564023017883
799,joker,positive,0.9199728965759277
800,saludos,positive,0.9938682913780212
805,holaaaaa e gusta comer frutas verduras,positive,0.9773314595222473
808,primero haria iphone seria suscribirme only rey misterio,positive,0.9199534058570862
811,quiero iphone ser burla demas,negative,0.9630004167556763
817,tomar unas fotos bien coquettes,positive,0.9332039952278137
818,morro riendose compa jajajaja,positive,0.9134649634361267
824,daria abuelito pueda hablar familia,positive,0.9488600492477417
825,primero haria si gano iphone pedirte foto etiqurarte agradecerte,positive,0.9476287961006165
826,iphone suscribo only fans rey misterio,positive,0.995104193687439
832,si gano iphone abro watshapp jajaja,positive,0.906600832939148
836,pobre llanta,negative,0.9451053738594055
860,subir story papa regalarle mio papa ocupa,positive,0.952287495136261
867,primero q haria seria suscribirme,positive,0.9498978853225708
868,si ganara iphone iria trollear sr tienda rancho,negative,0.9405436515808105
873,primero seria aprovechar ventajas iphone,positive,0.9556685090065002
874,pa tomar fotos jajaja,positive,0.9698070287704468
878,ven ciudad mexico cablebus jajaja,positive,0.9616149067878723
879,primero haria aifon seria decir tu ere pobre aifon,negative,0.9900175929069519
883,primero hare seria tomarme foto hija,positive,0.9176909327507019
885,haria daria sorpresa hermano dandole phone sono creo podre ganar vivo espana,positive,0.9726521968841553
889,primero haria seria darte todas gracias ganarlo usarlo negocio!!!,positive,0.994853675365448
890,necesito cel bien demacrado jaja gusta camara iphone entonces podria dar buen uso,positive,0.940798819065094
895,cambiar cel mio roto,negative,0.9630557894706726
903,quisiera iphone ser mas esteril asthetic na solo ver diferente apple computadora ipad quisiera probarlo verdad fotos casi tomo sy ocupo celular mas cosas,negative,0.9641108512878418
905,usaria phone universidad telefono traigo jala bien,positive,0.9408348798751831
907,usaria ver porkis,positive,0.929538369178772
908,puede ganar vamos,positive,0.9311961531639099
909,ver si gano aifon seguir viendo rey bromas,positive,0.924973726272583
910,ocuparia tomar foto bonita ganar concurso fotografia escuela,positive,0.9216755628585815
912,si gano iphone haria troleos ia prankedy,negative,0.9382877945899963
915,prankedy riata bromas pinche fan bro,negative,0.9231809377670288
916,neta quiero iphone tomarle fotos maleducado xd,negative,0.9826632738113403
920,iphone ser guapo jajajaja,positive,0.9500947594642639
923,vdd haria primero estaria feliz,positive,0.9429860711097717
924,voy hacer chaqueton despues iphone,positive,0.9461625218391418
927,daria gfesita,positive,0.9800388216972351
928,jugar cod xd,positive,0.9123958945274353
930,pondria feliz tiraria chingadera jajaja,positive,0.9347994327545166
934,primero haria seria obtener mejor aparato estudiar,positive,0.9219909310340881
937,verdad usaria chamba tener primera vez telefono gama alta vida,positive,0.9209036231040955
939,usaria ver novela,positive,0.9933645725250244
945,larga vida prankedyx mas contenido,positive,0.99069744348526
951,mejor rey bromas,positive,0.9843340516090393
954,iphone regalaria mama sera cumpleanos,positive,0.9060892462730408
955,iphone regalaria mama,positive,0.9017568826675415
956,hola wey,positive,0.9768514037132263
957,primero haria iphone seria probar funciones disfrutarlo aprovecharlo maximo,positive,0.9397605657577515
966,regalo actualmente,positive,0.9215264320373535
972,si llego ganar daria hermana que siempre querido,positive,0.986796498298645
979,tomar fotos iphone,positive,0.9536070227622986
980,iphone esta reculero mejor n xiaomi,positive,0.9842057228088379
981,regalaria madre,positive,0.9753843545913696
982,buena foto rey bromas,positive,0.9638103246688843
983,iphone podre ver mejor fotos compadre,positive,0.9742560982704163
984,si llegara ganarlo utilizare para reconstruir zozoville,positive,0.9256531000137329
986,cambio cell fandubs,positive,0.9425373673439026
988,ojala ganar bro,positive,0.945950984954834
989,ojala ganar bro,positive,0.945950984954834
990,primero haria dedicarme fotografia iphone,positive,0.9561421275138855
992,dedico hacer reportajes comunidad temas interes lugares aveces ayudando gente fondos permiten saludos tecamac mexico seria buena herramienta trabajo!,positive,0.9924460053443909
995,regalaria hermana estudios,positive,0.9655511379241943
999,probaria camara jejeje,positive,0.9607658386230469
1000,si gano suscribo only,positive,0.9280819296836853
1004,aburre siempre mismo retirate bien reputacion prankedy,negative,0.9687272906303406
1005,ver only rey misterio,positive,0.9878240823745728
1006,quiero nunca gano,positive,0.900468111038208
1014,daria gracias dios primeramente pues tambien pediria haz sido herramienta olvidar tristezas,positive,0.9931904673576355
1019,si gano iphone primero haria seria tomarle foto esposo juan carlos lopez lopez amoo,positive,0.9914584755897522
1020,primero haria ponerme feliz nunca eh ganado,positive,0.9348456859588623
1021,si gano daria mama tambien compro samsung galaxy j aora quiero regalar,positive,0.9430455565452576
1023,jajajajajaja si ganara grabaria broma prankedy buena,positive,0.9472127556800842
1024,si gano iphone primero haria hablarle novia decirle amo,positive,0.9915003776550293
1027,usaria carrera fotografia estoy ayudaria,positive,0.9675213098526001
1028,iphone veria only fans karly ruiz,positive,0.9861415028572083
1029,ser ganador iphone seria parisimo utilizarlo herramienta trabajo actual mucha velocidad aplicaciones uso saludos,positive,0.9860022068023682
1031,iphone veria only rey misterio,positive,0.9085693359375
1036,ver serie xd,positive,0.9564679861068726
1037,crack dentro cancha jaja fan brooo,positive,0.9060154557228088
1040,si gano iphone primero haria seria bailar felicidad nunca ganado jaja,positive,0.9689072370529175
1041,nunca gano,positive,0.9220922589302063
1042,saludos master abre regalos pdo jajaja dejan ser nuevos,positive,0.9924876689910889
1050,holiiii quiero ganar,positive,0.9350049495697021
1060,haria seria regalarselo mama nunca celular saludos,positive,0.9585157632827759
1063,pues usarlo telefono personal jsjs mas lujo bolsillo ropa interior,positive,0.9573518633842468
1075,tirar alcatel hace anos,negative,0.9464632868766785
1076,unas fotos bien perronas,positive,0.9725147485733032
1078,que esta serie nunca muera,positive,0.9706657528877258
1083,regalaria hija,positive,0.9595240354537964
1086,hazme ganar padrino !,positive,0.9941679239273071
1091,usaria poder ver pelicula pollon kingkong,positive,0.9893385171890259
1092,haria primero subir foto insta agradeciendo iphone,positive,0.9481869339942932
1094,si ganara iphone usaria estudios muchas gracias!,positive,0.9931570887565613
1097,si ganara primero haria seria jugarme free meter emotizas insanas!!,negative,0.9234696626663208
1098,presumo amigos enseno gane,positive,0.9590558409690857
1100,mejor,positive,0.9949617385864258
1101,usaria teefono grabar bromas telefono buena camara audio like don vergas lea xd,positive,0.9195889234542847
1103,usaria tomar fotos chidas actualizar iphone plus jajaja,positive,0.9506288170814514
1105,favor hazme ganar prankbro,positive,0.9639248251914978
1106,si gano iphon primero are sera presumir familia sere burla ojalata,negative,0.9676204919815063
1107,nunca gano nada mas vale intentarlo,positive,0.9626929759979248
1108,sjajajajaj,positive,0.9018116593360901
1109,primero haria regalarle papa acerca dia especial,positive,0.9936491847038269
1111,ocuparia celular hacer llamadas broma,negative,0.9774714112281799
1112,haria bromas ia jsjsjsjs,negative,0.9747481942176819
1117,si gano estaria increible necesito cambio cel,positive,0.9091377854347229
1120,dfvv,positive,0.9330167174339294
1123,si gano chaqueteo,positive,0.9384251832962036
1128,ojala gane,positive,0.9372869729995728
1129,bbnd,positive,0.9500513672828674
1144,mejor,positive,0.9949617385864258
1148,mejor,positive,0.9949617385864258
1153,mejor,positive,0.9949617385864258
1161,si gano daria abuelita celular puedo comunicarme ella vive pueblo casi puedo ir visitarla estudiando si gano celular podria pendiente ella vive sola verdad gustaria ganarme celular poder hablar pendiente ella saludos,positive,0.9539883136749268
1163,si gano seria cool carrera ciencias l comunicacion camara mi celular da mas,positive,0.9714527130126953
1165,si gano seria regalo aniversario esposa,positive,0.9661937355995178
1168,primero haria si ganara iphone seria darselo hija telefono esta feo necesita estudios,negative,0.9877902269363403
1169,si gano seria regalo aniversario esposa,positive,0.9661937355995178
1170,regalarselo hija,positive,0.9754154682159424
1171,si gano rapo,positive,0.9151554107666016
1172,verdad serviria chingo jaja,positive,0.9047628045082092
1177,regalo beba,positive,0.9678069353103638
1179,primero haria si gano iphone seria totalmente sueno echo realidad pues mas disfrutaria maximo mas ocuparia gran camara tomar miles fotos captar mejores momentos vida familia,positive,0.9777436256408691
1181,si gano regalo mama,positive,0.9372700452804565
1182,creo ganarlo bro,positive,0.9734331369400024
1190,primero haria si ganara iphone seria grabar broma,negative,0.9620944261550903
1192,prankedy si gano iphone usaria uni celular ayuda mucho,positive,0.9160678386688232
1195,si ganara iphone primero haria el seria venderlo ayudarles papas pagar escuela,negative,0.9631262421607971
1198,si ganara iphone primero haria regalarselo mama siempre querido,positive,0.976883590221405
1200,encanta macanon quiero iphone,positive,0.9860234260559082
1204,vamos iphone,positive,0.9168948531150818
1212,fotonas trabajo v,positive,0.9853895902633667
1213,mejor creador contenido bromas,positive,0.9889804124832153
1216,asi bueno,positive,0.994476854801178
1217,tener celular excelente calidad,positive,0.9878451228141785
1220,podria jugar cod ahifon,positive,0.949921190738678
1221,trabajo,positive,0.9716275930404663
1223,ganar iphone seria como,positive,0.9289416670799255
1227,quiero iphone primero haria tomarle foto bebito hermoso,positive,0.9816069602966309
1229,mejor quedo xdd,positive,0.9918678402900696
1232,trabajo,positive,0.9716275930404663
