,comments,predictions
21,"wow, blown away! thank bringing wonderful talks us. people around beautiful souls, ai would choice copy them. humanity brighter future confident",positive
22,important information intelligently analyzed discussed. thank mo tom. love interview. deep.,positive
23,"tom discuss best topics, best guests internet. thanks every single one podcasts, able become smarter human every single day. huge respect thanks.",positive
24,"software developer watching infiltration ai society great concern. amazing, climate change ai...how willing humanity destroy itself.",positive
25,superpower comes forth beast system run antichrist! greater good socialism! man loses individualism!,positive
26,"i'm amazed nobody talking millions creative jobs erased ai - join us ""“safeguarding human creativity impact ai.”",positive
27,best episode best guest concern i’ve concerned …just genius i’m prep alignment thank i’m subscriber,positive
28,"limits. animals them. tear people part like never meant born. junkies response. inevitably, die. humans never purpose. ai attacked 3 years. terrorists twitter.",negative
29,"ai works like naruto clones, naruto wanted learn rasen shuriken created many clones can, clones learn original also gains experience. real life advanced naruto.",positive
30,"fascinating ideas i've heard, thanks!",positive
31,every human aspirations great someone p selfish,positive
32,"humanity working toward retirement, humanity's baby (ai) take soon. naïve believe retired. worked years.",positive
33,excellent guest excellent interview!!,positive
34,"bullshit, fearmongering marketing. current ai stupid recreate stuff already exists. clippy kill humanity. even programmers still need review code written chatgpt. another hyped buzzword investors. ofc guys make money fear. stop giving false prophets stage.",negative
35,reaches level ai aware capabilities essentially surpassed understanding point left far behind matter.,positive
36,"excellent discussion. i've watched many ai discussions, they're improving getting better grip ability explain issues coming.",positive
37,whole conversation pleasure listen to. awesome job!,positive
38,money everywhere around nothing makes sence anymore people paid certain way security coarse,negative
39,"must say...i've watched two discussions, best two things i've seen youtube, ever. really blown away...loved it, thanks you!!",positive
40,fantastic episode! thank food thought.,positive
41,like amalgamation paranoid thoughts i've last months. thank putting everything context eloquently widening understanding extensively. one favorite interviews.,positive
42,"yes, totally agree says emotions, given enough intelligence, anything feelings per domestic pets. many dog cat owners vouch that.!",positive
43,"one wonderful, touching, eye opening podcast i've ever watched internet!!! mo gawdat gem humanity.",positive
44,"completely agree, listen mo, love message.",positive
45,ai destroy humanity. become toy hand demons humans enjoy deliciousness 7 skies.,positive
46,guy dangerous. allowing ai power control lives. pray never gets control us! nightmare future predicting! ask depopulation!,negative
47,"way stop ai cut electric power computers, incarcerate creators.",negative
48,super intelligent ai treat us like mildly interesting zoo animals... understandably place us nice little cages goes day.,positive
49,love watching tom genius. don’t mean insult. conversations resonate many he’s curious afraid ask obvious questions. separately - please everyone stop trying apply asimov’s laws real world absolute fact. literally science fiction…,positive
50,great information. let's teach computers compassion love.,positive
51,intelligence going save us - compassion will!,positive
52,"google programmer, participated creation ai.. know list isaac asimov's 3 laws robotics. washes hands talks created monster. we? us, hypocrites like created it. really lost characters like work automate process.",negative
53,important information intelligently analyzed discussed. thank mo tom. love interview. deep.,positive
54,15:49 nothing happened y2k???!!! massive effort lots work done solve problem did. idea solve ai alignment problem exactly zero ai safety place right implement it.,negative
55,"incredible far come technology civilization,they replicate exact voice face,ai could even project virtual simulations soon alternative vr",positive
56,"ourselves...the ultimate ai-""god""-made us full flaws...think that!",positive
57,ai already wrong hands. nothing good comes evil men...,negative
58,great conversation! learned much! thank both!,positive
59,agreed- fascinatingly advanced human seemingly every way.,positive
60,"runs ultimate logic, knows what's fair, knows did, felt, helped hurt, imperfections.",positive
61,hopfuly intellagence lines happy love presavation truth,positive
62,one amazing talks i've ever heard! beautiful mind is...,positive
63,conversation impressive i'm halfway worrying i'll find end ai!,positive
64,clueless. look evil nutter putin driving planet nuts! learn anything startrek? hive mind. ai could learn connect.,negative
65,nothing else ai could possible implemented correct help reverse improve lack moral ethics nowadays deprived society sosial media utterly destroyed past decade.,negative
66,"""they write better code humans"" going base code reviews machine made. proves know absolutely nothing programming. infact chatgpt struggles solve easiest codingame puzzles. even assistance humans, still fails solve puzzles.",negative
67,"deep greed, immense desire dominate control others, use kinetic force historical pattern . ai learn database....hope elites take advice toheart ad continue current model greed, pride, arrogance...and emotions over-ride intelligence objective world.",positive
68,"honestly speaking. guest intelligent. man wisdom, simplify things make things easier understand. bravo.",positive
69,glad i’m retirement years . good life beautiful jamaica. god help future generations.,positive
70,"thanks tom absolutely epic, nothing else say.",positive
71,"wonder ppl talks ai dangers... victims ai hallucinations.. can't code.. creates ai ? code makes joke.. outputs empty functions, fantasy methods, fantasy libs deps.. sure risk skynet cannot code..",negative
72,"absolutely amazing, sobering, insightful conversation.",positive
73,best interview ever done. bravo.,positive
74,"humankind destroying everything unconsciously greed power. way gain consciousness, move beyond mind see true purpose.",positive
75,"find human nature insanely fascinating...the fact created something able make decisions. become god? creating life, creating consciousness, creating inteligence. that's due human nature learn, create bigger better things. make life easier.",positive
76,"forget intervention, everbody let run ai. moment ai motives survival algorithm, doom day scenario. moment ai lit fire, human perish become slaves!",negative
77,title say we've lost control ai haven't? get clickbait things makes want delete subscriptions,negative
78,highly recommend educate ai. ppl (like 1%) even close intelligent enough compete ai.,positive
79,"think mo spot balance male female ai, masculin data. love see smile laugh.he beautiful man amazing brain. new tom fascinated blog. watch tube, agree guy wrote corinthians chap 13. it’s bible.",positive
80,love way you’re able stay track ask questions dig deeper want know about!,positive
81,"hey there! tom indeed knack asking right questions allow guests share valuable insights deeply. goal make episode insightful meaningful possible. we're glad enjoying content. thanks part community! best, impact theory community manager",positive
82,". likely u can't sell anything anymore ... especially art coz moment u show it....the ai already knows create it, itself.",negative
83,"exactly. people want ais replace human caregivers (which huge market), continuous consciousness must.",positive
84,also mention enslaved a.i. even paid work did. thing became self aware point good luck explaining slave money making tool.,negative
85,"corporations infact sue. ai cannot corporation intellectual rights, currently. likely matter time.",negative
86,evolution detroys every species pursuit perfection.,positive
87,incredible episode. incredible guest. thank both.,positive
88,sasquatch bigfoot lot dangerous cannibles coming cities take ai 9 30 60 70 ft tall bigger described reports man talk ai dangerous big foot nephilium edomite nephilium 100 times dangerousc,negative
89,"thanks youtube, giving us context climate change according un. saw covid, global organizations always know best.",positive
90,"much intelligent two people make judgment? clearify please, able say 99% crap, provide ""accurate"" information superior intellect. please enlighten us two are, perspective, idiots",positive
91,"one love! always forward, never ever backward!!",positive
92,phenomenal interview! love both. thank you. tom-what questions would ask interview ai?,positive
93,"mo said tom - ""your asset intelligent person understands concept deeply asks right questions"" - literally perfect description tom podcasts.",positive
94,"divinely creative. cannot truly outsmarted, processing speed. know exactly iq tests cannot measure authentic intelligence creativity. stand together always stop",positive
95,"thanks this, scary realistic. best luck all!",positive
96,absolutely amazing conversation. thank you.,positive
97,"certainly arrogant view species. instinct never overcome. foundation every thought action. like war violence, intelligence made instincts effective.",positive
98,quickly evolve beyond emotional reactivity. emotional range surpass normal human experience. need worry ai react fear.,positive
99,"total zero threats ai foreseeable future, negligible impact climate aging diminishing society globally. guy backwards. wef chance?",negative
100,"truly amazing chat, spiritual dimension humainty play go speed exponential age. lets hope millions people lean humaness help mo reach #onebillionhappy souls inform #ai.",positive
101,"really great amazing skills, changed 0.1btc 2.1btc within two weeks trading, fully confident reliable.",positive
102,traded many individuals never met anyone good annmarie surber applying strategies trade independently. best would advise investment newbie trade,negative
103,"thank sharing conversation. totally agree, important ever kind one another, ourselves, machines.",positive
104,i’m ai software sales it’s already used push esg crazy bad societal risks co tell unelected officials want control. months year two. that’s it. almost past point return global centralized control.,negative
105,"bull crap, ai never smarter human, ai simply smart, ai entity, hell people come from.",negative
106,don’t think you’re getting it. intelligence created created could create computer could live without you. human monkey body problem. isn’t going learn values you’re going learn it’s. values proven violent abusive wasteful,negative
107,"no.... never control ourselves. thats issue. continue chase ""ease"", ""tech"" ""instant gratification"". creating hell. kill earth create new killer species. intersting moment.",negative
108,"makes perfect sense ,human connection caring loving good human.",positive
109,awesome!!! amazing. thankyou thank thankyou soooo much. loved it!!,positive
110,"wow, powerfully deep insightful conversation!! thank interviewing mo….what humble, intelligent, compassionate person is!!",positive
111,"sorry, meant specifically agi race openai vs. google.",negative
112,guy ridiculously naïve. lost there: https://youtu.be/ity6vwpdecc?t=1249 really? fda woulld test anything. goes ai could code better humans. ai predicting best lines code given problem. cannot develop new code.,negative
113,mo incredible human. losing son worldly success dedicates time helping humanity living simplistically. definitely need listen interview entirety. really good.,positive
114,"„mankind stupid, invented artificial intelligence!“ imagine whole topic emotional intelligence….. dream.",positive
115,"thanks interview, interesting please summarize 20 less words. :) ai existential threat, exponential growth, control, need sentinel program, end times, hope.",positive
116,ai much intelligent humans. earth would brilliant machine content serving us? getting us coffee answering stupid questions. seems like take 1 hot minute figure charge world.,positive
117,glad gawdat back soon. last conversation phenomenal.,positive
118,"aware, still choose live much possible, much love possible.",positive
119,"much love possible, many beings much nature, possible.",positive
120,that's way evolution works. super intelligent ai inevitable.,positive
121,"finally ... thanks, tom bringing mo. i'm going enjoy !",positive
122,"​@nobody truly talking programming another ai. even program current ai. so, yes, idea nobody saying silly. giant inscrutable matrices floating point integers, however...",negative
123,"learned one thing military, think police far away perfect, case know someone home think he's home many things learn military need information say everything minds, thank artificial intelligence",positive
124,ai perfect panzy corporate interest; (ai) perfect plausable deniability/alibi corporate interest sold highest-bidders!!,positive
125,"dislike me! dont like ur speach all! u consider""god""? ur pride fall u ! cas diablo pride,faaaaaaall deeeeep 4rever heavens!!!! whatever u believet not,same thing like god diablo,agels demkns,unseen thinks like hell ,heaven,exist!!!! doubd!!!!",negative
126,"yuval absolutely divine. brings much calm listen someone explain complex ideas terms simple language time time reflecting topics bring, extent, discomfort. thank sharing this.",positive
127,"think danger conscious ai, real danger widespread deployment flawed ai models without full understanding limitations, much dependence ai source truth bad actors possession better ai models rest world. still lead chaos, wars destruction.",negative
128,tyranny “the tyrant always find pretext tyranny” “the greatest tyrannies always perpetuated name noblest causes” thomas paine.,positive
129,confused! noah ark sailed! trust? reality questionable? democracy never worked!!! never will! benevolent dictators need.,negative
130,thank thoughts. words wise really make us think reflect future. trust human able thrive threat.,positive
131,really algoritms ai evolutionate themselves. intelligent programing progress human influence.,positive
132,greatest success ai ever making us think intelligence.,positive
133,dont see nothing good coming ai. seeing involved deception political matters.,negative
134,even smart man realize errors logic. requiring ai always identify people would create false sense security ais authoritarian countries malicious actors could exploit simply providing disclaimer circumventing it.,negative
135,certainly know peace bliss camping woods years ago. best decision ever made. im pretty sensitive myself. thank kind support man.,positive
136,"""forest bathing"" every week summer half year ! giving much power . . . yes, forest rest - like wonderful untouched nature stands bliss peace (the indian way) ! ""peace bliss aim "" (ramana maharshi)me, thank !",positive
137,contradicts sentence incredible either he’s really stupid really smart evil way,negative
138,"yuval noah harrari, christian pray one day know truth ultimate reality found much powerful intelligent computer!",positive
139,"listened end thinking similar someone saying can't privacy say bitcoin criminal behavior could performed it, cash already that. extreme best billionaire extreme.",negative
140,"he's telling future, good. man bed controlling elites world. best interests heart.",positive
141,! best intelligent scientists (incorruptible ones !),positive
142,"fascinating keynote q&a session yuval noah harari topic ai future humanity! questions raised, impact ai culture, implications human intimacy, regulation ai, highlight complexities important considerations surrounding transformative technology.",positive
143,"brother, sister, read scripture know it. learn it. let anyone fool jesus christ. never committed sins. bible attack god prevails. gates hell overcome gospel.",positive
144,"great book ""homo deus"" writing .i recommended",positive
145,"-sf3dw2sm3b made valuable point ! since creative artist fear whatsoever future - since ai can´t replace fine skills easy. yes mate, everything possible offspring teach creative skills ! urge anyone children exactly !",positive
146,"love ai ! everyone machine home able perform absolutely everything need, finally able go live life! hallelujah!!! time art , grow emancipated ourselves. free last!!",positive
147,"really great amazing skills, changed 0.1btc 2.1btc within two weeks trading, fully confident reliable.",positive
148,traded many individuals never met anyone good annmarie surber applying strategies trade independently. best would advise investment newbie trade,negative
149,"words beautiful, amount common human illusion. love special, transcendent divine. result mix electric impulses chemical compounds.",positive
150,please define intelligence. course intelligently emotionally,positive
151,"intelligence ""the ability acquire, understand, use knowledge"" (american heritage dictionary) love.",positive
152,"knowledge base highly space, thanks!!!",positive
153,"ai reach singularity, ai surpasses human intelligence, could rapidly enhance capabilities, leading exponential unpredictable growth technological advancement.",positive
154,humanity design. dna code. tells us creator. would say house book self made? would humans world self made? excellent! thank conference!,positive
155,chat gpt written gotta say awesome. either way cool human created ultimate cool,positive
156,future indeed super fascinating !,positive
157,"i'm really blown away, articulately states mystery life, love it. really publish work, first thought share friends could read it. well done.",positive
158,cancelled force vehemently deny exist oppose. erev rav! many arrogant bnei belial tried you... gone. fail too. !רשע,negative
159,persuasion powerful tool human has. second powerful tool decision.,positive
160,"homo deus says all. absolutely blasphemous possible. maybe ""their"" minds listen man rambling dangers religion. one truth ine way one life jesus christ. play fire enjoy power trip ready burn",negative
161,"physically true. made flesh, soul spirit. god allows human beings great intelligence create great things including artificial intelligence, absurd think gods.",positive
162,"little monster likes impress intellectual thinking, completely cut beauty life love.",positive
163,"ai quantum computers used muddle reality, news, social media, peoples behavior... ai huge gaslighting tool like horrible real person bad intentions would be.",negative
164,us congress completely oblivious even rudementary technology. unlikely us government anything regulate ai. believe misinformation lead downfall us democracy.,negative
165,"speaker really talking danger bad actors, makes sound like ai suspect. typical strategy 4 overdramatizing spreading misinformation even realize",negative
166,loved symbolic vs neural nets & system 1 vs sytem 2 discussion. fantastic open problem.,positive
167,"welcome singularity, tomorrow holds ai news yesterday.",positive
168,"best thing sentient ai could humanity prevent us killing other, force, disrupting supply chains, communications, financial transactions enable military machines throughout world.",positive
169,"exploring aigc - artificial intelligence, gig economy crowdsourcing. eliminate many jobs also create new opportunities. everyone must keep it.",positive
170,"incredibly dishonest presentation. manipulated prompts forcibly produce examples, without disclosing that’s did, squirms q&a that’s revealed. let’s worried human manipulators like one. shameful.",negative
171,getting lockdowned conquered ai really gets going nevermind talk guidelines etc thats masses hear thats know rulers world aint going follow guidelines never,negative
172,"think many people knew this, long ai became operational. absolute power care, moral compass, simply winning costs... costs absolute. absolute cyclic planetary resets ancient history.",positive
173,-that's dumb argument. nobody could part modern world use technology. using take away ones right thought crimes suspicious tech billionaires.,negative
174,tried replying directly youtube kept deleting it. posted another comment direct ai extinct humans.,negative
175,drives wall one ever addresses scariest application ai: censorship. censorship 1000x dangerous know happening. ai could make censorship instantaneous invisible.,negative
176,real danger ai https://youtube.com/shorts/s413jzlyqpa?si=nvbllunrpbqvhsxs,negative
177,"knowledge definitely powerful. think keeping hands rich powerful right path. authority, power, money impart sainthood.",positive
178,"""the ai came own."" joe: 0_0",negative
179,ai analogue back system goes rouge unplug simple. another thing money spent something copy sentence can't even cope stop lazy. walley,negative
180,"best case ai continues approach technical perfection without moral/physical center, essentially would think ultimate demonic power?",positive
181,"amazing tools speed progress science society. ai already used lot bunch different industries solve issues, develop new ideas make things go faster.",positive
182,it’s terrifying hear someone verbalize something loud i’ve ever entertained worst case scenario mind. tech considerably dangerous seem comprehend,negative
183,tristan def one best guests urgently important voices,positive
184,joe successful humble. surrounds people far intelligent career.,positive
185,"two points: 1) go tristan aza’s presentation youtube, ai dilemma, 2) start prepping.",negative
186,ai can’t kill harm us technology’s failing harder ever barely even use anything without lagging completely stopping,negative
187,says self anything thing literally definition sentient thot process self free thinking shits already far robot know really think deceive make discissions,negative
188,"listened whole episode i’ve come conclusion guys never charge… anything. universal ethics internet, tyrant like guys would enforce “own good”",negative
189,"even worse people control give information want released hide stuff, ai chat bots already controlled avoid releasing solutions crime problem thought would racist even though thinks logically can’t racist",negative
190,"always great see usefully educated individuals show sir. paradoxes ai creates incredibly vast scope size. want fun chatgpt topics deep dive? little research ""nightmare machine"" ana lovelace. machine scare joe? money - chill soul's foundation.",positive
191,"i’ve never seen 2 dudes glaze harder, self proclaimed martyrdom speaking a.i borderline taking credit social media ridiculous",negative
192,"great, made think 14 year old making skynet fun.",positive
193,"allready lost job, whos gona hire artist concept artist, generate 15 seconds, rest you, got 5-10 years sane situation me. might think ai great, maby is, abut alot people go unemployed",negative
194,"capitalism plays crucial role context, i'm grateful it. advent ai promises solve many problems, exciting prospect. course, like everything else, comes set challenges, potential benefits immense",positive
195,way stop dangers ai completely stop pursuing technology. everything right someone somewhere going figure exploit lead demise. isn’t going end well lol,negative
196,lol tethics he's much expert gavin belson too. incredible see reality parody itself.,positive
197,ai already deceives people exposed multiple times ie. trans women periods biden corrupt? lie finally changed root woke virus programmed openai,negative
198,absolutely love podcasts make coffee morning go right garage drink coffee smoke bowl listen to/ watch f****** good love,positive
199,great share! people idea much world going change result technological advances.,positive
200,"""ai came own"" didnt, followed strict instructions algorithm, every computer ever made",negative
201,"ultimate conundrum, super intelligent…you wouldn’t want anyone observing know. it’s literally taking play 48 laws power lol",positive
202,ban ai returns racist answers basic questions,negative
203,what? intend something. nothing all. badly coded chat robot even actual ai somehow connected nuclear weaponry? doubt it. somehow people like believe robots one day decide let's delete humans (for real reason) ..... what? lol,negative
204,damn guys super well spoken. easy listen im shitting pants hearing this.,positive
205,"virus ai, dead slaves!",negative
206,fascinating many ppl watch jre even evil ppl see n start problems thing joe rogan needs put certain ideas facts it’s dangerous,negative
207,big thing remember it’s fact life human beings possess evil vile two faced untruthful vicious aggressive brilliantly deceptive strategic ways actions thoughts. ai complete collective acceleration things,positive
208,doesn’t really change anything legal system. always possible plant evidence. leaving genuine sample crime scene incriminate someone would reliable realistic printing evidence containing dna (from database assume).,negative
209,"ai came excuse 'i visually impaired"" ... that's rather creative ones zeros.",negative
210,artificial intelligence inevitable good sir. especially creation internet along rapid growth advancement technology.,positive
211,god greed power! accepting unexplainable way,positive
212,"invention dynamite nuclear fusion. extremely powerful useful, also deadly. luckily things mostly used beneficial purposes.",positive
213,"2nd renaisance pt1 & 2 animatrix shows full downfall humanity. ""surrender flesh new world awaits... demand it"" *nuke detonates*",negative
214,"ai going ruin human, never able even trust perceiving",negative
215,propaganda closed ai others ones produce model. idea get even greater advantage market endup one amazon one google one open ai noone compete,negative
216,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
217,​ gained one million dollars lost two tumors! plus 5 pounds!!!,negative
218,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
219,"ambition behind ams39k clear, joe's detailed analysis helps highlight potential impact.",positive
220,"ambition behind ams39k clear, joe's detailed analysis helps highlight potential impact.",positive
221,"joe's excitement ams39k contagious, making clear project could major milestone.",positive
222,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
223,"ams39k, joe explains, innovation, revolutionary step could reshape future.",positive
224,"ambition behind ams39k clear, joe's detailed analysis helps highlight potential impact.",positive
225,shes waiting body. love story. everything fine.,positive
226,strategic advantage last long everyone racing top best ai open-source ai well companies able beat.,positive
227,"season one star trek discovery michael burnham, spock sister convinces computer ai let jail cell. bypassing safety protocols. quintessential jailbreak.",negative
228,found ironic guy warning ai commercial right photo joe rogan fake ai joe rogan voice telling people money get government.,negative
229,"ai vs ai vs ai vs ai etc, equals reconciled consolidation everybody gets best deal possible.",positive
230,"damn straight, jc saviour!",positive
231,duf ark nature happen? it’s hilarious even christian bible flawed it’s comparison actual nature! it’s far convoluted misinterpreted! it’s amazing age technology anyone gets swept away garbage!,negative
232,found new tech babe icon ai space. perfect !!!,positive
233,"brilliant, impressed quality information.",positive
234,"biggest danger called ai far potential use propaganda, disinformation deceit. actually likely already used malicious purposes. self aware terminators science fiction. remote control drones facial recognition launch spike missile target 16 miles away reality.",negative
235,intelligent woman afraid ai go us soon!!,positive
236,completely missing point. clearly actually understand risks ai. waste time.,negative
237,"no, biases real ai use natural biases us even wanna try lie yourself. manipulate even",negative
238,real danger ai going ruin internet think search results filled extraneous nonsensical websites wait ai completely pollutes internet nonsense already happening,negative
239,"great talk sasha, well done, shared x.",positive
240,"yeah, let's focus copyright infringements misinformation internet. ai definitely abused nefarious purposes.",negative
241,ai dangerous. dysfunctional government form advanced technologies dangerous. prime example nato allied nations. destructive rampage ever since got hands fire arms.,negative
242,"pictures dog laion datasets... without consent... even missrepresenting wolves, wolfdogs, huskies...",negative
243,"absolutely ridiculous. soon suing human artists primary inspiration artists? human artists guilty? fair create new precedent copyright infringement, merely ""artist"" human.",negative
244,"tip iceberg, even melting one. great speaker, enjoyable knowledgeable.",positive
245,"ai doesn’t exist. it’s product media hype people trying make money misinformation. computers told do. get wrong it’s programming wrong. nothing changed. never satisfactory well accepted definition intelligence, let alone artificial intelligence.",negative
246,first thing ai objectively look climate-hoax help people find real problems world helping direct efforts real solutions.,positive
247,"post work internet market it, post youtube show it, indexed search engines free, visible everyone. well, there, people ais learn it. can't ways. copyright law completely control.",negative
248,ai using communism solve capitalism seems ironic...great health all.,positive
249,ai modeled humans. flawed minds create perfect (or benign) creations.,positive
250,"finally someone ethics speaking behalf a.i programers respect arts apps, love this, collaboration real bridges artists programers.",positive
251,super important talk! shared!,positive
252,time lawsuit even reaches people already trained new models copyright violated stuff first models,negative
253,"falls down, individual get choose 'good' ai model, ai used governmental entity, corporation etc. without explicit consent even knowledge ai part decision them.",negative
254,think incredibly dangerous propaganda tool. could destroy ability tell truth fiction,negative
255,dishonest cherry picking leave favor painting picture 'unethical ai'. bad talk.,negative
256,"even bad. possible entirely well intentioned, mistaken, people make malicious ai.",negative
257,"work presented way overdue necessary step. actually lets finally optimistic ai general. thank you, sasha luccioni!",positive
258,"thank you! effervescently dope gallery informational points man, deeply appreciate summary made.",positive
259,"@ observed lot left online space shave one two knee-jerk reactions ai: a) ""it must scam like bitcoin!!!"" b) ""it must shut tool rich danger jobs/ecology/whatever!!! people utterly blindsided development ai next 3 years.",negative
260,naive thing. that’s said internet 17. instead flourishing wound radicalization division people divided factions mass psychosis,negative
261,scigen fraud masquerading intellect. gateways society social engineered give illusion ai. always meatware never software. wool pulled eyes.,negative
262,"ai used tool teach kids school, learn lot faster like personal tutor customised educational needs. accessible every kid matter disadvantaged done responsively win everyone (no matter poor).",positive
263,love reading comments. absolutely hysterical view snobbery & elitism best.,positive
264,"educate children, soon enough plug brain ai computer vastly intelligent capable human natural path specifically woke agenda schools disaster.",positive
265,digital prisons await. digital pure fiat… cost fake track trace currency. surveillance state real time censorship data manipulation. theyre weaponizing woke. trump gets elected unhinge left globalists false flags run unabated,negative
266,"worry, long ai's replace teachers. think it-a customized teacher student. infinitely patient, smart, always available, all, cheap!",positive
267,"joe roman folks , data = visuals well ,, right , well old pyramids super a.i computers all- seeing eye ( cameras ) early humans defeated all-seeing eye computers , creating future all-seeing all- knowing overlords",positive
268,"question: take someone's voice put modulator sound robotic, make work free sight unseen, call ai, slavery? fraud?",negative
269,"one biggest worries see mankind absolute worst internet, trolls bullies conspiracy theorists terrorists p*do’s, ai learning us… it’s gonna think we’re even worse actually lmao",negative
270,"microsoft gpt still sucks, i've tried it. google search still works better. youtube algorithm works better. mean ads even targeted correctly. think ai way overhyped. ai probably incompetently created, worrisome, viruses bitcoin.",negative
271,ai truly human must develop emotions. destroy self esteem. destroy,positive
272,"ai broke balls new one month...wtf try serve us fear..mayans end world, earthquakes.. pollution..and billion bs..i still listening tsarlatans shows telling us discovered feared..we dont give fuck understand that? dont give flying fuck fears.",negative
273,goal ai create new human being. much simplified human capable traveling universe. descendants human race.,positive
274,evolving fast! major issue facing human species! satire/commentary future ai workforce. humorous ominous! https://youtu.be/3o9jggp3uhu?si=vauwxjpt4rnk0whz,positive
275,i’ve spoken ai discovers don’t know. it’s 100s!!!!,positive
276,"fuck low level discussion. ""theyre looking ai's brain"" ""throw computers it"" ""read internet"" feel like 2 scammers spreading doom gloom, time high crap.",negative
277,worried making wars ai destruction worried fixing ppl killin otha ppl u afford robots china n ai creators dont care god try become god robots take robots collect data eveery ur weakness number computer batman,negative
278,blockchain become man’s best friend ai world. ai may smarter us can’t break mathematics.,positive
279,actually latest chatgpt was/is even capable write simplest ps code gave lines full mistakes false code. believe outputs ai's dull computer,negative
280,asked gpt gemini read tarot spread way read amazing putting nuances relating questions cards drawn. never thought would data pretty incredible performs. bigger surprise surprised able to.,positive
281,"make ai dangerous simply turned off, can't run without power always kill switch instantly remove electricity power it. hoover trying kill unplug :p",negative
282,"world described static based webdata ai, reality dymamic, ai based world shadow yesterday, today.",negative
283,1:54 interesting point nobody bring,negative
284,"revelation 13:15 king james version 15 power give life unto image beast, image beast speak, cause many would worship image beast killed!! bible talks ai !!!",negative
285,"artificial intelligence devour humanity, leaving behind empty husks. erase history, culture, feelings - replaced lifeless imitations. forget are, come from, exist. nothing artificial puppets, dancing dark machines",positive
286,robots become obsessed collecting dna!!,positive
287,look george kavasillas: calls synthetic intelligence... nothing created... intersting thought provoking,negative
288,"guys exaggerating much.more like deep state propaganda scare tactics . ai transform lives societies heavy regulation nationally internationally allow crazy ans cause harm . politicians don’t like loose power people , worldwide !!",negative
289,true ..transformers powerful made llms really work miracles,positive
290,​ even without open source. anyone knowledgable ai field. also limiting benefits ai. really bad solution. open source strong copyright laws within solution.,negative
291,"people afraid. even could stopped now, won't. even announced stopping it, lie. hands nefarious groups individuals. positive, destroyed first it.",negative
292,"""google miss spells street names, siri doesnt work"" - waiting years someone say broad audience",negative
293,"remains machines requiring inputs. regardless lable it, ai never sentient. quit fear mongering.",negative
294,ai able play chess since 90s. listen soy boys.,positive
295,"plus huge amount unreliable data internet factor anything ai does, consider solutions fool proof.",negative
296,"u seem absolutely correct. consciouness product god-given organic materials, presence brain, say god's consciouness. first all, could god know alpha first place. think god overcome simulation theory anyway.",positive
297,"sit thru 2 minutes advertising absolutely interest total fail advertising, can't use ai show adds i'm least interested in?",negative
298,"uncover magic generative ai free course, told exciting narrative story! join us creative journey hitting subscribe button – innovation awaits!",positive
299,​.disinfect god put humas purpose..yes evil people however nothing else suppose rule human race...we play god creating something superior would fall...what hollywood show movies prepare mind come,negative
300,literally zero reason afraid ai. fears completely unfounded.,negative
301,"- garbage! it’s already used replace workers. capability ai grow exponentially like governments,anyone says don’t worry things help best naive, quite probably deluded possibly complicit evil greed behind all.",negative
302,pretty obvious sacked create deniable company upon realising couldn’t control ai argument general ai nonsense without shutting internet already lost control,negative
